UNB3_345,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,3.06 +/- 0.21,0.00 +/- 0.00,2.19 +/- 0.09,0.55 +/- 0.10,353.21 +/- 0.17
SFRIG1_2021,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_False,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_False,0,0,0,0,0
SFRIG1_2021,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,3.40 +/- 0.32,0.00 +/- 0.00,2.37 +/- 0.22,0.78 +/- 0.00,289.52 +/- 0.22
AECHO1_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,3.93 +/- 0.68,0.00 +/- 0.00,2.32 +/- 0.09,0.89 +/- 0.01,289.81 +/- 0.12
AECHO1_2020,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_False,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_False,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,KDE,tuning_False,104.91 +/- 9.91,nan +/- nan,0.09 +/- 0.01,0.98 +/- 0.00,0.47 +/- 0.00
AECHO1_2020,IAT+SIZE,header_False,KDE,tuning_True,117.38 +/- 20.33,nan +/- nan,0.09 +/- 0.00,0.89 +/- 0.00,0.47 +/- 0.00
AECHO1_2020,IAT+SIZE,header_False,GMM(full),tuning_False,12.58 +/- 1.19,nan +/- nan,30.75 +/- 2.92,1.20 +/- 0.00,27.44 +/- 0.02
AECHO1_2020,IAT+SIZE,header_False,GMM(full),tuning_True,2.63 +/- 0.46,nan +/- nan,5.06 +/- 0.21,1.08 +/- 0.00,1.99 +/- 0.00
AECHO1_2020,IAT+SIZE,header_False,GMM(diag),tuning_False,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,GMM(diag),tuning_True,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,KJL-GMM(full),tuning_False,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,KJL-GMM(diag),tuning_False,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_False,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_False,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_False,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_False,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_False,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_False,0,0,0,0,0
AECHO1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,3.11 +/- 0.57,0.00 +/- 0.00,4.00 +/- 0.85,0.88 +/- 0.01,241.34 +/- 0.19
DWSHR_AECHO_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,3.34 +/- 0.60,0.00 +/- 0.00,3.11 +/- 0.40,0.93 +/- 0.00,242.11 +/- 0.18
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_False,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_False,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,KDE,tuning_False,78.45 +/- 14.40,nan +/- nan,0.12 +/- 0.02,0.92 +/- 0.01,0.47 +/- 0.00
DWSHR_AECHO_2020,IAT+SIZE,header_False,KDE,tuning_True,57.92 +/- 10.38,nan +/- nan,0.13 +/- 0.02,0.98 +/- 0.00,0.47 +/- 0.00
DWSHR_AECHO_2020,IAT+SIZE,header_False,GMM(full),tuning_False,12.01 +/- 2.21,nan +/- nan,41.07 +/- 8.75,1.00 +/- 0.01,32.49 +/- 0.03
DWSHR_AECHO_2020,IAT+SIZE,header_False,GMM(full),tuning_True,3.72 +/- 0.67,nan +/- nan,7.09 +/- 0.91,0.98 +/- 0.00,4.31 +/- 0.00
DWSHR_AECHO_2020,IAT+SIZE,header_False,GMM(diag),tuning_False,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,GMM(diag),tuning_True,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-GMM(full),tuning_False,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-GMM(diag),tuning_False,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_False,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_False,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_False,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_False,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_False,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_False,0,0,0,0,0
DWSHR_AECHO_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,0,0,0,0,0
